Rooms;Living_Space;Price;Address;Building_type;Location;possible_collocation;Transport_Index;Population
4,5;100;2300;Montchoisi, Lausanne, 1006 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;26;1250;Lausanne, 1003 Lausanne;Studio;Lausanne;no;1,5;144365
1,5;80;2980;Grancy, 1006 Lausanne;Apartment;Lausanne;no;1,5;144365
4;88;2750;1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;125;2800;1006 Lausanne;Apartment;Lausanne;yes;1,5;144365
4;129;2900;1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
3;59;761;Av. Mont-d'Or 56, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
3;59;856;Chemin de Pierreval 15, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;130;2450;Rue du Chasseur 13A, 1008 Jouxtens-M‚zery;Apartment;Jouxtens-M‚zery;yes;0,25;1493
2,5;55;1495;Avenue du Grey, 1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;15;990;Mont sur Lausanne, 1052 Le Mont-sur-Lausanne;Studio;Lausanne;no;1,5;144365
1;26;1600;Chemin de la Rochelle, 1008 Jouxtens-M‚zery;Studio;Jouxtens-M‚zery;no;0,25;1493
5,5;136;1920;Chemin de la Colline, 46, 1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;80;69;1004, 1004 Lausanne;Studio;Lausanne;no;1,5;144365
1;25;1050;Echallens 7, 1032 Romanel-sur-Lausanne;Studio;Lausanne;no;1,5;144365
1;36;960;Cheseaux sur Lausanne, 1033 Cheseaux-sur-Lausanne;Studio;Lausanne;no;1,5;144365
4,5;106;2800;Champ-du-Bois 24, 1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
4;100;2800;Bussigny, 1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;30;750;Place de la Riponne, 1005 Lausanne;Studio;Lausanne;no;1,5;144365
2,5;46;1510;Chailly, 1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;55;1975;1000 Lausanne 26;Apartment;Lausanne;yes;1,5;144365
4,5;100;2652;1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
1,5;28;1600;1007 Lausanne;Apartment;Lausanne;no;1,5;144365
1;11;1000;Cheseaux sur Lausanne, 1033 Cheseaux-sur-Lausanne;Studio;Lausanne;no;1,5;144365
2,5;70;2000;1003 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;46;1000;1007 Lausanne;Studio;Lausanne;no;1,5;144365
3;60;1710;1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;67;1920;1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;102;2145;1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;80;2800;1008 Jouxtens-M‚zery;Apartment;Jouxtens-M‚zery;yes;0,25;1493
2,5;50;1913;1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;86;2790;1004 Lausanne;Apartment;Lausanne;yes;1,5;144365
3,5;102;2315;1018 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;12;760;1003 Lausanne;Studio;Lausanne;no;1,5;144365
4,5;100;2970;1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
2;44;1320;1008 Jouxtens-M‚zery;Apartment;Jouxtens-M‚zery;no;0,25;1493
2,5;63;1500;1005 Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;115;2930;1007 Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;77;1890;1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
2,5;64;2050;1012 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;20;750;1012 Lausanne;Studio;Lausanne;no;1,5;144365
1;60;650;Lausanne, 1003 Lausanne;Studio;Lausanne;no;1,5;144365
1,5;1;1250;1010 Lausanne;Apartment;Lausanne;no;1,5;144365
1,5;45;1250;1004 Lausanne;Apartment;Lausanne;no;1,5;144365
2;64;1554;1007 Lausanne;Apartment;Lausanne;no;1,5;144365
1,5;30;1400;Chemin du boissonnet, 1010 Lausanne;Apartment;Lausanne;no;1,5;144365
2,5;60;1850;1010 Lausanne;Apartment;Lausanne;yes;1,5;144365
1;25;225;1032 Romanel-sur-Lausanne;Studio;Lausanne;no;1,5;144365
1;13;950;1018 Lausanne;Studio;Lausanne;no;1,5;144365
3,5;95;2500;1052 Le Mont-sur-Lausanne;Apartment;Lausanne;yes;1,5;144365
4,5;150;4450;chemin du bois gentil 44A, 1018 Lausanne;House;Lausanne;yes;1,5;144365
7,5;236;5300;Chemin de la Praz 4, 1052 Le Mont-sur-Lausanne;House;Lausanne;yes;1,5;144365
5,5;180;5000;Rue du village 5, 1066 Epalinges;House;Epalinges;yes;1,25;9910
4,5;120;2750;Chemin de la Gottettaz 26, 1012 Lausanne;House;Lausanne;yes;1,5;144365
8,5;220;6250;Praz-Buchilly 28B, 1066 Epalinges;House;Epalinges;yes;1,25;9910
8;300;6900;Chemin de la Crausaz 9, 1066 Epalinges;House;Epalinges;yes;1,25;9910
7,5;195;5500;Chemin du Tolard 35, 1032 Romanel-sur-Lausanne;House;Lausanne;yes;1,5;144365
4,5;146;4950;Mont d'Or 28, 1007 Lausanne;House;Lausanne;yes;1,5;144365
1;300;7500;Ch. du Petit-Cerisiers 4A, 1066 Epalinges;Studio;Epalinges;no;1,25;9910
10;430;11000;1066 Epalinges;House;Epalinges;no;1,25;9910
5,5;166;3350;Chemin du Couchant 5, 1052 Le Mont-sur-Lausanne;House;Lausanne;yes;1,5;144365
4,5;156;4250;1012 Lausanne;House;Lausanne;yes;1,5;144365
6,5;260;5500;Route du Signal 25, 1018 Lausanne, 1018 Lausanne;House;Lausanne;yes;1,5;144365
7,5;380;5700;Ch. des Rosiers 13, 1052 Le Mont-sur-Lausanne;House;Lausanne;yes;1,5;144365
6;155;4200;Chemin de saux, 1052 Le Mont-sur-Lausanne;House;Lausanne;yes;1,5;144365
4;85;2485;Avenue de Lavaux 36, 1009 Pully;Apartment;Pully;yes;1,25;19298
5;140;4000;Avenue de Rochettaz 38, 1009 Pully;Apartment;Pully;yes;1,25;19298
2,5;38;1640;Avenue des Cerisiers 6, 1009 Pully;Apartment;Pully;yes;1,25;19298
5,5;120;4150;1009 Pully;Apartment;Pully;yes;1,25;19298
3,5;80;3314;Avenue des D‚sertes 21, 1009 Pully;Apartment;Pully;yes;1,25;19298
4;60;2300;1071 Chexbres;Apartment;Chexbres;yes;0,25;2230
4,5;95;3600;1009 Pully;Apartment;Pully;yes;1,25;19298
6,5;134;3830;Chemin des Oisillons 2, 1009 Pully;Apartment;Pully;yes;1,25;19298
5,5;159;6500;Route d' Ouchy 4, 1095 Lutry;Apartment;Lutry;yes;1,25;10796
4,5;147;3250;Route de Flonzaley 5, 1070 Puidoux;Apartment;Puidoux;yes;0,25;3012
3,5;103;4670;Chemin des Crits-des-Pierres 12, 1090 Lutry;Apartment;Lutry;yes;1,25;10796
2,5;48;1623;Chemin des Ramiers 4, 1009 Pully;Apartment;Pully;yes;1,25;19298
